구,역사명
강남구,강남역
강남구,역삼역
강남구,선릉역
강남구,삼성역
강남구,수서역
강남구,일원역
강남구,대청역
강남구,학여울역
강남구,대치역
강남구,도곡역
강남구,매봉역
강남구,신사역
강남구,압구정역
강남구,논현역
강남구,학동역
강남구,강남구청역
강남구,청담역
강남구,신논현역
강남구,봉은사역
강남구,삼성중앙역
강남구,선정릉역
강남구,언주역
강동구,강일역
강동구,둔촌동역
강동구,상일동역
강동구,고덕역
강동구,명일역
강동구,굽은다리역
강동구,길동역
강동구,강동역
강동구,천호역
강동구,강동구청역
강동구,천호역
강동구,암사역
강동구,암사역사공원역
강북구,미아사거리역
강북구,미아역
강북구,수유역
강서구,까치산역
강서구,화곡역
강서구,우장산역
강서구,발산역
강서구,마곡역
강서구,송정역
강서구,김포공항역
강서구,개화산역
강서구,방화역
강서구,염창역
강서구,등촌역
강서구,증미역
강서구,가양역
강서구,양천향교역
강서구,마곡나루역
강서구,신방화역
강서구,공항시장역
강서구,김포공항역
강서구,개화역
강서구,중앙보훈병원역
고양시,지축역
관악구,신대방역
관악구,신림역
관악구,봉천역
관악구,서울대입구역
관악구,낙성대역
광명시,광명사거리역
광명시,철산역
광진구,강변역
광진구,구의역
광진구,건대입구역
광진구,광나루역
광진구,아차산역
광진구,군자역
광진구,뚝섬유원지역
광진구,건대입구역
광진구,어린이대공원역
광진구,군자역
광진구,중곡역
구로구,도림천역
구로구,신도림역
구로구,대림역
구로구,구로디지털단지역
구로구,온수역
구로구,천왕역
구로구,남구로역
구로구,대림역
금천구,가산디지털단지역
노원구,노원역
노원구,상계역
노원구,당고개역
노원구,화랑대역
노원구,태릉입구역
노원구,석계역
노원구,태릉입구역
노원구,공릉역
노원구,하계역
노원구,중계역
노원구,노원역
노원구,마들역
노원구,수락산역
도봉구,쌍문역
도봉구,창동역
도봉구,도봉산역
동대문구,청량리역
동대문구,제기동역
동대문구,신설동역
동대문구,동대문역
동대문구,용두역
동대문구,신설동역
동대문구,장한평역
동작구,사당역
동작구,사당역
동작구,총신대입구역
동작구,동작역
동작구,신대방삼거리역
동작구,장승배기역
동작구,상도역
