구명,법정동명,위도,경도,가까운역
송파구,마천동,37.5014009,127.1586471,마천
노원구,하계동,37.6449368,127.0737283,노원
노원구,하계동,37.6403353,127.0776372,중계
강북구,수유동,37.6457235,127.0204494,마들
도봉구,방학동,37.6597831,127.0311865,수락산
송파구,가락동,37.5023386,127.1230275,오금
노원구,중계동,37.6397013,127.0657916,중계
노원구,월계동,37.6232494,127.0689643,하계
노원구,월계동,37.6307835,127.0486895,중계
송파구,오금동,37.5030986,127.1424217,거여
노원구,월계동,37.6295194,127.0515124,중계
노원구,월계동,37.6280905,127.0532717,중계
노원구,월계동,37.62722,127.0516875,중계
송파구,마천동,37.4975793,127.1512743,마천
노원구,하계동,37.6348705,127.0712993,중계
노원구,하계동,37.6370714,127.0633298,중계
노원구,중계동,37.6442022,127.0614697,노원
노원구,상계동,37.651721,127.0571617,마들
노원구,상계동,37.6519915,127.0592957,마들
노원구,상계동,37.6492494,127.0586622,노원
노원구,상계동,37.6504775,127.0633196,노원
노원구,상계동,37.6512797,127.066805,노원
노원구,상계동,37.6703363,127.0555516,수락산
노원구,상계동,37.6679446,127.053321,수락산
노원구,상계동,37.6657426,127.0532382,수락산
노원구,상계동,37.6660853,127.054735,수락산
노원구,상계동,37.6628704,127.0543004,수락산
노원구,상계동,37.6628526,127.0561867,수락산
노원구,상계동,37.6692745,127.0583338,수락산
노원구,상계동,37.6680075,127.0620318,수락산
노원구,상계동,37.6632746,127.059867,수락산
노원구,상계동,37.65905,127.0567235,마들
노원구,상계동,37.6599011,127.061065,마들
노원구,상계동,37.6875646,127.053304,도봉산
구로구,구로동,37.5010265,126.8904376,대림
성북구,돈암동,37.5977875,127.0211775,미아
성북구,정릉동,37.6106601,126.9935398,한성대입구
성북구,삼선동1가,37.582363,127.0090132,길음
성북구,보문동3가,37.5838929,127.0165128,보문
성북구,하월곡동,37.6108306,127.0386769,상월곡
성북구,종암동,37.6015468,127.0389498,월곡
성북구,장위동,37.6203285,127.0533143,돌곶이
강북구,번동,37.62994,127.0429154,쌍문
강북구,미아동,37.6320995,127.0255859,쌍문
강북구,미아동,37.6335613,127.0252706,쌍문
강북구,미아동,37.6182163,127.0243007,쌍문
강북구,미아동,37.6181523,127.0270601,쌍문
강북구,번동,37.6357842,127.0249482,쌍문
강북구,번동,37.6393474,127.0329993,노원
강북구,번동,37.6297165,127.0398433,쌍문
강북구,번동,37.6237396,127.0464875,돌곶이
강북구,수유동,37.6331769,127.0206696,쌍문
강북구,수유동,37.6424025,127.0268239,쌍문
강북구,수유동,37.6405571,127.0244424,쌍문
강북구,미아동,37.6201422,127.0350955,쌍문
도봉구,창동,37.6539114,127.0508754,마들
도봉구,방학동,37.6631998,127.0419887,수락산
도봉구,도봉동,37.6876469,127.040677,도봉산
도봉구,창동,37.646582,127.0450197,마들
도봉구,창동,37.6430857,127.0486333,노원
도봉구,창동,37.6468398,127.0518019,노원
도봉구,창동,37.6503967,127.0529641,마들
도봉구,창동,37.6475738,127.050902,노원
노원구,상계동,37.674712,127.0620735,수락산
노원구,상계동,37.6695451,127.0505111,수락산
노원구,상계동,37.650782,127.0646754,노원
노원구,중계동,37.648671,127.0711077,노원
노원구,중계동,37.6471886,127.0756055,노원
노원구,상계동,37.645291,127.0566435,노원
노원구,중계동,37.6439642,127.0881208,중계
노원구,중계동,37.6426723,127.0874134,중계
노원구,중계동,37.644169,127.0881482,중계
영등포구,양평동,37.5390641,126.898631,영등포구청
영등포구,대림동,37.5033253,126.8992024,신풍
영등포구,영등포동6가,37.5214533,126.9037833,영등포시장
도봉구,창동,37.6496495,127.0437917,마들
노원구,중계동,37.6486447,127.0664323,노원
영등포구,대림동,37.4984624,126.8973129,대림
영등포구,대림동,37.492789,126.899438,미아사거리
영등포구,신길동,37.5015457,126.9061645,신풍
구로구,신도림동,37.5096947,126.8903898,홍대입구
구로구,개봉동,37.4965469,126.8564394,광명사거리
영등포구,신길동,37.5162236,126.9153946,신길
동작구,대방동,37.4980415,126.9219398,보라매
동작구,상도동,37.4924428,126.9369933,신도림
구로구,신도림동,37.5139956,126.8828703,홍대입구
노원구,상계동,37.6575682,127.0613426,마들
동작구,본동,37.5082997,126.9544141,상도
동작구,동작동,37.503168,126.9780267,삼각지
동작구,동작동,37.504625,126.9752058,삼각지
동작구,동작동,37.499176,126.9844917,삼각지
동작구,상도동,37.4939764,126.9411029,숭실대입구
동작구,대방동,37.5102375,126.9285703,장승배기
동작구,대방동,37.5075563,126.9278282,장승배기
동작구,상도동,37.506801,126.9355832,장승배기
동작구,노량진동,37.5138449,126.9481992,상도
동작구,사당동,37.4858652,126.9745605,이수
관악구,봉천동,37.4778253,126.9556392,낙성대
관악구,신림동,37.484139,126.9263886,신도림
관악구,신림동,37.4688286,126.9316063,신도림
관악구,신림동,37.4847939,126.9033032,신대방삼거리
관악구,신림동,37.4614817,126.9329263,신도림
관악구,신림동,37.4593349,126.9291917,신도림
관악구,신림동,37.4670754,126.9472006,낙성대
관악구,신림동,37.458914,126.9461979,낙성대
관악구,신림동,37.4550754,126.9471745,낙성대
관악구,봉천동,37.4711668,126.9602006,낙성대
서초구,원지동,37.4454321,127.0570701,교대
서초구,양재동,37.4682722,127.0311235,교대
광진구,구의동,37.5380333,127.0923891,강변
광진구,자양동,37.5320208,127.0878849,구의
광진구,광장동,37.5459266,127.103908,광나루
광진구,자양동,37.535781,127.0777057,구의
광진구,자양동,37.5302033,127.0824409,구의
광진구,화양동,37.5415522,127.0696986,어린이대공원
광진구,화양동,37.5463893,127.0679173,어린이대공원
광진구,화양동,37.5427206,127.0669007,어린이대공원
광진구,중곡동,37.5628462,127.0961772,중곡
관악구,신림동,37.4700452,126.9325326,신도림
광진구,구의동,37.5369695,127.0946358,강변
광진구,광장동,37.5480701,127.1006935,광나루
광진구,광장동,37.5403016,127.1016403,광나루
광진구,자양동,37.5307597,127.0813548,구의
광진구,화양동,37.5415522,127.0696986,어린이대공원
광진구,중곡동,37.5589084,127.0910671,아차산
동대문구,전농동,37.5828774,127.050621,제기동
동대문구,회기동,37.5901291,127.055376,제기동
성동구,하왕십리동,37.5616111,127.0270029,신당
광진구,능동,37.5468061,127.0778508,어린이대공원
중랑구,신내동,37.6145493,127.1009212,태릉입구
중랑구,면목동,37.5856761,127.0913319,면목
중랑구,망우동,37.597671,127.0966698,면목
중랑구,상봉동,37.5931827,127.0823863,면목
중랑구,중화동,37.5981593,127.0774472,중화
중랑구,면목동,37.5731232,127.0833126,용마산
중랑구,면목동,37.5768823,127.084358,용마산
중랑구,중화동,37.604121,127.0805124,중화
중랑구,면목동,37.5808711,127.0965242,사가정
중랑구,신내동,37.6137871,127.0891913,태릉입구
중랑구,상봉동,37.6066405,127.0915329,중화
영등포구,양평동1가,37.5233362,126.8882279,영등포구청
서초구,양재동,37.4682722,127.0311235,교대
서초구,양재동,37.4682722,127.0311235,교대
서초구,서초동,37.4765543,127.0137811,봉천
서초구,방배동,37.462376,126.9884283,사당
서초구,방배동,37.4768065,126.9825339,사당
강남구,신사동,37.5243955,127.0351332,강남구청
강남구,역삼동,37.5022569,127.0299928,논현
강남구,역삼동,37.5009677,127.0299964,논현
강남구,일원동,37.4899751,127.0774748,일원
강남구,대치동,37.4895773,127.0571726,매봉
강남구,개포동,37.482797,127.0661575,매봉
강남구,도곡동,37.4896583,127.0441451,교대
강남구,일원동,37.4925844,127.0826746,일원
서초구,양재동,37.4716699,127.0423731,교대
강남구,개포동,37.4955897,127.0786243,도곡
강남구,일원동,37.4809932,127.0780984,일원
강남구,논현동,37.5154949,127.0252215,학동
강남구,개포동,37.4919837,127.0731913,도곡
강남구,개포동,37.4960407,127.0758232,도곡
강남구,일원동,37.4807248,127.0807777,일원
강남구,일원동,37.4920982,127.0882175,학여울
강남구,일원동,37.4797079,127.0812933,일원
강남구,세곡동,37.4652222,127.1099722,산성
강남구,개포동,37.4858116,127.0634887,매봉
송파구,잠실동,37.5104037,127.072324,종합운동장
송파구,방이동,37.5142918,127.1139233,몽촌토성
송파구,송파동,37.5013053,127.1189117,송파
송파구,문정동,37.4895625,127.1106313,가락시장
송파구,문정동,37.4906967,127.1138581,가락시장
송파구,가락동,37.4918088,127.1239642,경찰병원
송파구,문정동,37.4903104,127.1322526,거여
송파구,거여동,37.4968435,127.1416904,거여
송파구,문정동,37.4851851,127.1288909,장지
송파구,신천동,37.521333,127.0994876,잠실나루
송파구,풍납동,37.5381806,127.1217703,천호
영등포구,당산동4가,37.5297743,126.8978822,충정로
영등포구,영등포동8가,37.5267799,126.9034345,영등포시장
영등포구,당산동1가,37.5225194,126.901119,영등포시장
영등포구,문래동3가,37.5151446,126.9019676,아현
양천구,목동,37.5351839,126.8786826,오목교
영등포구,신길동,37.5129444,126.9264385,여의도
강남구,논현동,37.513487,127.0349177,강남구청
양천구,신정동,37.5191985,126.8707191,오목교
금천구,독산동,37.4678605,126.9096832,신대방삼거리
금천구,가산동,37.4653409,126.8861175,가산디지털단지
강남구,논현동,37.5153035,127.0340832,강남구청
구로구,궁동,37.503345,126.8284466,온수
구로구,구로동,37.4996121,126.8717417,신촌
영등포구,여의도동,37.5175748,126.93049,여의도
강남구,논현동,37.5177166,127.0357358,강남구청
강남구,논현동,37.5098871,127.0409941,강남구청
강남구,대치동,37.4984515,127.0776413,도곡
강남구,대치동,37.4972419,127.0702144,도곡
